25-06-11 13:02:17.018 : Model path: model_zoo/ffdnet_gray.pth
25-06-11 13:02:17.018 : model_name:ffdnet_gray, model sigma:15, image sigma:15
25-06-11 13:02:17.018 : testsets/bsd68
25-06-11 13:05:46.904 : Model path: model_zoo/ffdnet_gray.pth
25-06-11 13:05:46.904 : model_name:ffdnet_gray, model sigma:15, image sigma:15
25-06-11 13:05:46.904 : testsets/bsd68
25-06-11 13:08:45.876 : frame_0093.png - PSNR: 35.22 dB; SSIM: 0.9181.
25-06-11 13:08:48.351 : frame_0094.png - PSNR: 35.24 dB; SSIM: 0.9190.
25-06-11 13:08:51.461 : frame_0095.png - PSNR: 35.24 dB; SSIM: 0.9199.
25-06-11 13:08:54.077 : frame_0096.png - PSNR: 35.18 dB; SSIM: 0.9182.
25-06-11 13:08:56.722 : frame_0097.png - PSNR: 35.28 dB; SSIM: 0.9187.
25-06-11 13:08:59.872 : frame_0098.png - PSNR: 35.32 dB; SSIM: 0.9190.
25-06-11 13:09:02.831 : frame_0099.png - PSNR: 35.32 dB; SSIM: 0.9179.
25-06-11 13:09:05.564 : frame_0100.png - PSNR: 35.28 dB; SSIM: 0.9171.
25-06-11 13:09:08.198 : frame_0101.png - PSNR: 35.26 dB; SSIM: 0.9184.
25-06-11 13:09:11.055 : frame_0102.png - PSNR: 35.25 dB; SSIM: 0.9185.
25-06-11 13:09:13.533 : frame_0103.png - PSNR: 35.23 dB; SSIM: 0.9186.
25-06-11 13:09:16.533 : frame_0104.png - PSNR: 35.25 dB; SSIM: 0.9191.
25-06-11 13:09:19.503 : frame_0105.png - PSNR: 35.22 dB; SSIM: 0.9192.
25-06-11 13:09:22.240 : frame_0106.png - PSNR: 35.25 dB; SSIM: 0.9188.
25-06-11 13:09:24.856 : frame_0107.png - PSNR: 35.26 dB; SSIM: 0.9196.
25-06-11 13:09:27.303 : frame_0108.png - PSNR: 35.19 dB; SSIM: 0.9160.
25-06-11 13:09:29.887 : frame_0109.png - PSNR: 35.32 dB; SSIM: 0.9169.
25-06-11 13:09:33.018 : frame_0110.png - PSNR: 35.33 dB; SSIM: 0.9159.
25-06-11 13:09:35.489 : frame_0111.png - PSNR: 35.43 dB; SSIM: 0.9141.
25-06-11 13:09:38.080 : frame_0112.png - PSNR: 35.46 dB; SSIM: 0.9152.
25-06-11 13:09:40.807 : frame_0113.png - PSNR: 35.45 dB; SSIM: 0.9135.
25-06-11 13:09:43.492 : frame_0114.png - PSNR: 35.49 dB; SSIM: 0.9161.
25-06-11 13:09:46.139 : frame_0115.png - PSNR: 35.51 dB; SSIM: 0.9143.
25-06-11 13:09:49.022 : frame_0116.png - PSNR: 35.48 dB; SSIM: 0.9141.
25-06-11 13:09:51.779 : frame_0117.png - PSNR: 35.47 dB; SSIM: 0.9135.
25-06-11 13:09:54.517 : frame_0118.png - PSNR: 35.50 dB; SSIM: 0.9141.
25-06-11 13:09:57.363 : frame_0119.png - PSNR: 35.48 dB; SSIM: 0.9132.
25-06-11 13:10:00.662 : frame_0120.png - PSNR: 35.40 dB; SSIM: 0.9109.
25-06-11 13:10:03.763 : frame_0121.png - PSNR: 35.49 dB; SSIM: 0.9134.
25-06-11 13:10:06.920 : frame_0122.png - PSNR: 35.42 dB; SSIM: 0.9148.
25-06-11 13:10:10.442 : frame_0123.png - PSNR: 35.39 dB; SSIM: 0.9144.
25-06-11 13:10:12.912 : frame_0124.png - PSNR: 35.42 dB; SSIM: 0.9147.
25-06-11 13:10:15.908 : frame_0125.png - PSNR: 35.44 dB; SSIM: 0.9147.
25-06-11 13:10:18.424 : frame_0126.png - PSNR: 35.47 dB; SSIM: 0.9149.
25-06-11 13:10:20.846 : frame_0127.png - PSNR: 35.43 dB; SSIM: 0.9142.
25-06-11 13:10:23.876 : frame_0128.png - PSNR: 35.41 dB; SSIM: 0.9156.
25-06-11 13:10:26.888 : frame_0129.png - PSNR: 35.38 dB; SSIM: 0.9144.
25-06-11 13:10:29.733 : frame_0130.png - PSNR: 35.40 dB; SSIM: 0.9154.
25-06-11 13:10:32.246 : frame_0131.png - PSNR: 35.35 dB; SSIM: 0.9162.
25-06-11 13:10:34.631 : frame_0132.png - PSNR: 35.29 dB; SSIM: 0.9147.
25-06-11 13:10:37.254 : frame_0133.png - PSNR: 35.41 dB; SSIM: 0.9167.
25-06-11 13:10:40.377 : frame_0134.png - PSNR: 35.38 dB; SSIM: 0.9165.
25-06-11 13:10:43.576 : frame_0135.png - PSNR: 35.41 dB; SSIM: 0.9162.
25-06-11 13:10:47.103 : frame_0136.png - PSNR: 35.45 dB; SSIM: 0.9160.
25-06-11 13:10:50.308 : frame_0137.png - PSNR: 35.47 dB; SSIM: 0.9154.
25-06-11 13:10:53.061 : frame_0138.png - PSNR: 35.46 dB; SSIM: 0.9157.
25-06-11 13:10:55.599 : frame_0139.png - PSNR: 35.47 dB; SSIM: 0.9149.
25-06-11 13:10:58.184 : frame_0140.png - PSNR: 35.49 dB; SSIM: 0.9150.
25-06-11 13:11:01.257 : frame_0141.png - PSNR: 35.54 dB; SSIM: 0.9162.
25-06-11 13:11:04.078 : frame_0142.png - PSNR: 35.51 dB; SSIM: 0.9159.
25-06-11 13:11:06.939 : frame_0143.png - PSNR: 35.51 dB; SSIM: 0.9145.
25-06-11 13:11:09.672 : frame_0144.png - PSNR: 35.44 dB; SSIM: 0.9137.
25-06-11 13:11:12.892 : frame_0145.png - PSNR: 35.48 dB; SSIM: 0.9147.
25-06-11 13:11:15.286 : frame_0146.png - PSNR: 35.49 dB; SSIM: 0.9153.
25-06-11 13:11:17.479 : frame_0147.png - PSNR: 35.50 dB; SSIM: 0.9149.
25-06-11 13:11:19.780 : frame_0148.png - PSNR: 35.50 dB; SSIM: 0.9154.
25-06-11 13:11:22.653 : frame_0149.png - PSNR: 35.49 dB; SSIM: 0.9151.
25-06-11 13:11:25.123 : frame_0150.png - PSNR: 35.49 dB; SSIM: 0.9146.
25-06-11 13:11:27.612 : frame_0151.png - PSNR: 35.40 dB; SSIM: 0.9142.
25-06-11 13:11:30.600 : frame_0152.png - PSNR: 35.50 dB; SSIM: 0.9154.
25-06-11 13:11:33.528 : frame_0153.png - PSNR: 35.52 dB; SSIM: 0.9143.
25-06-11 13:11:36.551 : frame_0154.png - PSNR: 35.56 dB; SSIM: 0.9142.
25-06-11 13:11:39.171 : frame_0155.png - PSNR: 35.67 dB; SSIM: 0.9136.
25-06-11 13:11:41.459 : frame_0156.png - PSNR: 35.62 dB; SSIM: 0.9101.
25-06-11 13:11:44.196 : frame_0157.png - PSNR: 35.74 dB; SSIM: 0.9119.
25-06-11 13:11:46.696 : frame_0158.png - PSNR: 35.74 dB; SSIM: 0.9124.
25-06-11 13:11:49.831 : frame_0159.png - PSNR: 35.73 dB; SSIM: 0.9117.
25-06-11 13:11:52.496 : frame_0160.png - PSNR: 35.72 dB; SSIM: 0.9127.
25-06-11 13:11:55.213 : frame_0161.png - PSNR: 35.68 dB; SSIM: 0.9118.
25-06-11 13:11:58.001 : frame_0162.png - PSNR: 35.69 dB; SSIM: 0.9125.
25-06-11 13:12:01.089 : frame_0163.png - PSNR: 35.64 dB; SSIM: 0.9122.
25-06-11 13:12:03.803 : frame_0164.png - PSNR: 35.65 dB; SSIM: 0.9143.
25-06-11 13:12:06.540 : frame_0165.png - PSNR: 35.68 dB; SSIM: 0.9144.
25-06-11 13:12:09.298 : frame_0166.png - PSNR: 35.65 dB; SSIM: 0.9138.
25-06-11 13:12:12.299 : frame_0167.png - PSNR: 35.62 dB; SSIM: 0.9136.
25-06-11 13:12:15.123 : frame_0168.png - PSNR: 35.52 dB; SSIM: 0.9118.
25-06-11 13:12:18.364 : frame_0169.png - PSNR: 35.65 dB; SSIM: 0.9149.
25-06-11 13:12:21.086 : frame_0170.png - PSNR: 35.61 dB; SSIM: 0.9133.
25-06-11 13:12:24.001 : frame_0171.png - PSNR: 35.60 dB; SSIM: 0.9134.
25-06-11 13:12:26.529 : frame_0172.png - PSNR: 35.60 dB; SSIM: 0.9136.
25-06-11 13:12:29.353 : frame_0173.png - PSNR: 35.59 dB; SSIM: 0.9136.
25-06-11 13:12:32.054 : frame_0174.png - PSNR: 35.63 dB; SSIM: 0.9151.
25-06-11 13:12:34.684 : frame_0175.png - PSNR: 35.65 dB; SSIM: 0.9143.
25-06-11 13:12:37.259 : frame_0176.png - PSNR: 35.66 dB; SSIM: 0.9145.
25-06-11 13:12:39.955 : frame_0177.png - PSNR: 35.60 dB; SSIM: 0.9135.
25-06-11 13:12:42.643 : frame_0178.png - PSNR: 35.60 dB; SSIM: 0.9127.
25-06-11 13:12:45.305 : frame_0179.png - PSNR: 35.59 dB; SSIM: 0.9138.
25-06-11 13:12:48.182 : frame_0180.png - PSNR: 35.49 dB; SSIM: 0.9121.
25-06-11 13:12:51.472 : frame_0181.png - PSNR: 35.57 dB; SSIM: 0.9131.
25-06-11 13:12:54.216 : frame_0182.png - PSNR: 35.59 dB; SSIM: 0.9138.
25-06-11 13:12:56.842 : frame_0183.png - PSNR: 35.58 dB; SSIM: 0.9140.
25-06-11 13:12:59.943 : frame_0184.png - PSNR: 35.58 dB; SSIM: 0.9137.
25-06-11 13:13:03.370 : frame_0185.png - PSNR: 35.61 dB; SSIM: 0.9140.
25-06-11 13:13:05.997 : frame_0186.png - PSNR: 35.61 dB; SSIM: 0.9141.
25-06-11 13:13:08.986 : frame_0187.png - PSNR: 35.62 dB; SSIM: 0.9138.
25-06-11 13:13:11.505 : frame_0188.png - PSNR: 35.59 dB; SSIM: 0.9132.
25-06-11 13:13:14.412 : frame_0189.png - PSNR: 35.59 dB; SSIM: 0.9141.
25-06-11 13:13:17.358 : frame_0190.png - PSNR: 35.58 dB; SSIM: 0.9132.
25-06-11 13:13:20.135 : frame_0191.png - PSNR: 35.61 dB; SSIM: 0.9136.
25-06-11 13:13:22.828 : frame_0192.png - PSNR: 35.53 dB; SSIM: 0.9115.
25-06-11 13:13:25.793 : frame_0193.png - PSNR: 35.64 dB; SSIM: 0.9127.
25-06-11 13:13:29.055 : frame_0194.png - PSNR: 35.68 dB; SSIM: 0.9142.
25-06-11 13:13:31.324 : frame_0195.png - PSNR: 35.74 dB; SSIM: 0.9149.
25-06-11 13:13:34.076 : frame_0196.png - PSNR: 35.85 dB; SSIM: 0.9175.
25-06-11 13:13:34.082 : Average PSNR/SSIM(RGB) - bsd68_ffdnet_gray - PSNR: 35.51 dB; SSIM: 0.9149
